system   D            wsystem.c:583  maybe_parent_dir                 [   0.00074] Also searching C:\Users\usuario\Desktop\AirWar\AirWarpp\bin\
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.82996] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.83279] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.83288] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   9.96327] Glyph 83: 9x18 (12x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   9.96345] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   9.96352] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   9.96587] Glyph 1: 9x18 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   9.96615] Glyph 132: 9x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   9.96635] Glyph 53: 8x18 (8x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   9.96676] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   9.96683] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   9.96861] Glyph 147: 8x18 (8x20)
font     D                ttf.c:217  alloc_glyph_region               [   9.96912] Glyph 254: 9x19 (12x20)
font     D                ttf.c:217  alloc_glyph_region               [   9.96938] Glyph 188: 8x19 (8x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   9.97076] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   9.97096] _al_d3d_sync_bitmap (video) ref count == 2
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  11.14699] destroying display 00762E90 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  11.14770] converting display bitmap 007D9C50 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  11.14810] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  11.14818] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  11.15034] d3d_destroy_bitmap: Release video texture failed.
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [  11.15072] converting display bitmap 007EFB78 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [  11.15147] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [  11.15155] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [  11.15366] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  11.15406] waiting for display 00762E90's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  11.17829] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  11.20369] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [  11.20419] removed dtor for object 007D10A8
dtor     D               dtor.c:214  _al_unregister_destructor        [  11.20427] removed dtor for object 007EFB78
dtor     D               dtor.c:114  _al_run_destructors              [  11.20453] calling dtor for object 007CAA38, func 0F5D16EA
dtor     D               dtor.c:214  _al_unregister_destructor        [  11.20463] removed dtor for object 007CAA38
dtor     D               dtor.c:114  _al_run_destructors              [  11.20507] calling dtor for object 00728898, func 0F5D1F37
dtor     D               dtor.c:214  _al_unregister_destructor        [  11.21193] removed dtor for object 00728898
